id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count
1115336285001011200,2019-04-08 19:31:06,"RT @JimMarous: 10 Technologies That Will Disrupt Financial Services In The Next 5 Years

https://t.co/wia2VfqjX6

#banking #fintech #finser…",Simon Cocking,SimonCocking,107820,117876,7,0
1115336226167500801,2019-04-08 19:30:52,"RT @quantrad: Can't emphasize this enough. #ML for classification relies on latent, often obscure and granular, features rather than overt…",LN Tanenbaum MD,nuromri,2091,2485,3,0
1115336203291824128,2019-04-08 19:30:47,"RT @Ronald_vanLoon: World's fastest supercomputer
by @nowthisnews |

#MachineLearning #ML #NeuralNetworks #DeepLearning #DL #DataScience #A…",ur-trading,urtrading,5002,3229,48,0
1115336186904612869,2019-04-08 19:30:43,"RT @TheFuturist007: This intelligent, autonomous luggage follows you around the airport! 💼🤖

#intelligence #Engineering #technology #AI #ML…",Zenith Salazar,SalazarZenith,24,2,73,0
1115336079136022528,2019-04-08 19:30:17,"Matthieu Devin (part of the original @TensorFlow Team), now with @waymo is now on stage at #GoogleNext19 Community… https://t.co/I3hC1O4qPR",Gen Ashley,coderinheels,7680,10819,0,3
1115336055463600128,2019-04-08 19:30:12,"RT @TopCyberNews: #MegaTrends #Hyperconvergence

World's fastest supercomputer.

📌by @nowthisnews |

#MachineLearning #ML #NeuralNetworks #…",Curious Luke,TheCuriousLuke,266,1453,16,0
1115336049822056448,2019-04-08 19:30:10,#FDA Outlines Plans for #Medical Devices with #ArtificialIntelligence | #HealthTech #EHR #HealthData #DigitalHealth… https://t.co/0eyJJ7IayD,MedAppsAB,MedAppsAB,4983,1242,3,0
1115336013943939072,2019-04-08 19:30:02,"RT @lukwam: Listening to Mattieu Devin of Waymo all about ""Applying ML at Scale"" for building self-driving cars. #ml #machinelearning #waymo",Vikram 🖖 at📍#GoogleNext19 🔊 Talk #: SVR301,Vikram_Tiwari,1976,1930,1,0
1115335989151567874,2019-04-08 19:29:56,"RT @Smartlogic_com: Disrupt Or Be Disrupted: Seven Steps To #DigitalTransformation via @forbes 
#KYC #AI #ML #technology 
https://t.co/sbzB…",annmkelly,annmkelly,739,330,5,0
1115335965667667971,2019-04-08 19:29:50,"RT @Smartlogic_com: Why #Investment Managers Are Bullish About #AI, #ML And #RPA via @forbes https://t.co/cofROXHKBL https://t.co/CYh4l6zl4e",annmkelly,annmkelly,739,330,6,0
1115335923628220416,2019-04-08 19:29:40,"RT @TopCyberNews: #MegaTrends #Hyperconvergence

World's fastest supercomputer.

📌by @nowthisnews |

#MachineLearning #ML #NeuralNetworks #…",TechManShaf,TechManShaf,4999,832,16,0
1115335839809073152,2019-04-08 19:29:20,"RT @StephaneNappo: #MegaTrends #Hyperconvergence

World's fastest supercomputer.

📌by @nowthisnews |

#MachineLearning #ML #NeuralNetworks…",wolfliang,wolfliang2,696,62,12,0
1115335743302459393,2019-04-08 19:28:57,O Shopify utiliza #ML para prever a performance de lojas e oferecer financiamento acessível e coerente com o negóci… https://t.co/YEd6EGH1sL,QCon Sao Paulo,QConSP,434,2459,0,0
1115335728144224260,2019-04-08 19:28:54,"RT @Ronald_vanLoon: World's fastest supercomputer
by @nowthisnews |

#MachineLearning #ML #NeuralNetworks #DeepLearning #DL #DataScience #A…",Mark Minevich,MMinevich,9896,11330,48,0
1115335203407433729,2019-04-08 19:26:49,EU unveils ethics guidelines for artificial intelligence https://t.co/rASm4FcF3g #ai #ml #dl,AI News Feed,AINewsFeed,4171,5687,0,0
1115335000474378242,2019-04-08 19:26:00,"#AI and Privacy Concerns Get White House to Embrace Global Cooperation 

#artificialintelligence #AI… https://t.co/UP7vvK6a0U",John C. Maxwell III,maxjcm,5361,6991,0,1
1115334878390829057,2019-04-08 19:25:31,"RT @NabilSdhu: 8 Best Online #Robotics Courses, Degree, and Training 2019 https://t.co/i8iLvqBXFl #Robots #Robotic #robot #MachineLearning…",RFOnline - Globally Sourced Quality RF Components,RfonlineC,536,246,7,0
1115334835684478984,2019-04-08 19:25:21,RT @NabilSdhu: Data engineers vs. data scientists https://t.co/jgJ85vynTk #BigData #DataScience #MachineLearning #AI #DataLiteracy #DataEng…,RFOnline - Globally Sourced Quality RF Components,RfonlineC,536,246,12,0
1115334794412548096,2019-04-08 19:25:11,RT @NabilSdhu: A Beginners Guide to Data Engineering  Part I https://t.co/3br7iSLoAj #bigdata #analytics #machinelearning #ML #AI #deeplear…,RFOnline - Globally Sourced Quality RF Components,RfonlineC,536,246,5,0
1115334742340198400,2019-04-08 19:24:59,RT @NabilSdhu: #Machinelearning approaches gain critical mass for data pros https://t.co/jndUgHZmYU #ML #Analytics #DataManagement #DataAna…,RFOnline - Globally Sourced Quality RF Components,RfonlineC,536,246,5,0
1115334652200353794,2019-04-08 19:24:37,"RT @Paula_Piccard: Scientists Are Using Artificial Intelligence To Help Humans Survive A Deadly Asteroid Impact 

#innovation #MachineLearn…",thehal,Halplac,4414,4634,22,0
1115334551599849472,2019-04-08 19:24:13,"RT @antgrasso: Artificial Intelligence is not only changing the software paradigm (deterministic vs probabilistic), it will contribute on e…",Bassam Zarkout,bzarkout,3735,2091,31,0
1115334309286633473,2019-04-08 19:23:15,Machine learning moves popular data elements into a bucket of their own. #ML #dataanalytics https://t.co/pVs1mRps0f https://t.co/kPgOwKa4yy,Ines Hadrian @ #DMEA #Berlin,InesHadrian,382,329,0,0
1115334052238831617,2019-04-08 19:22:14,"RT @linkbuilding888: #LocalSEO link building

 https://t.co/2VotkIUOs9       

 #SEO #contentmarketing #socialmediamarketing #ecommerce #ma…",Web Promotion,iwebpromotion,74,1939,38,0
1115334000845950976,2019-04-08 19:22:02,How #ArtificialIntelligence Helps Banks Prevent Rogue Trading @ozy -  https://t.co/aY9ipI7wkK… https://t.co/JPobRr4WVw,#AInews2020,AInews2020,1062,1035,0,0
1115333992369348610,2019-04-08 19:22:00,"RT @datascienceshow: Episode 53: Estimating uncertainty with neural networks.

https://t.co/DwQqd8MQOa

#ml #machinelearning #data #bigdata…",Robert Zembowicz,rzembo,4220,3719,3,0
1115333948643606530,2019-04-08 19:21:49,Telenor Group stands behind Europe’s newly published guidelines on Artificial Intelligence - Telen... https://t.co/0jR790IRgD #ai #ml #dl,AI News Feed,AINewsFeed,4171,5687,0,1
1115333911851089921,2019-04-08 19:21:41,"Listening to Mattieu Devin of Waymo all about ""Applying ML at Scale"" for building self-driving cars. #ml #machinelearning #waymo",Lukas Karlsson,lukwam,1228,1504,1,3
1115333689607696391,2019-04-08 19:20:48,RT @IBMAnalytics: #ArtificialIntelligence vs. #MachineLearning - @forbes lays out the key differences between the two and how they are both…,Raquel E. Vargas Vivanco,raquel_vargas92,43,5,31,0
1115333546413936640,2019-04-08 19:20:14,RT @abunchofdata: How to Get Started With Deep Learning for Computer Vision (7-Day Mini-Course) https://t.co/IqMJJxAMhx #machinelearning #m…,Machine Learning,machinelearn_d,0,8253,1,0
1115333503330279429,2019-04-08 19:20:03,RT @AINewsFeed Azure Machine Learning and Deep Reinforcement Learning https://t.co/80yPfgnPWr #AI #ML #technology #dev,codeisgo.com,CodeIsGo_com,1891,2132,0,0
1115333493557538824,2019-04-08 19:20:01,RT @datasciencemsc: 💡The fascinating ways @PepsiCo uses #ArtificialIntelligence and #MachineLearning to deliver #success. By @BernardMarr @…,Luis Puente,LuisPuenteP,874,86,4,0
1115332938487541767,2019-04-08 19:17:49,RT @dario_sipos: Step by step #SEO for an international #Website #socialmedia #socialmediamarketing #digitalmarketing #contentmarketing #gr…,Visuda Marketing,VisudaMarketing,1688,2097,8,0
1115332905428049920,2019-04-08 19:17:41,RT @AINewsFeed: Detection of Apple Lesions in Orchards Based on Deep Learning Methods of CycleGAN and YOLOV3-Dense... https://t.co/OH7KJWzq…,Ajay Singh,ajnovice,690,169,1,0
1115332827455873024,2019-04-08 19:17:22,How artificial intelligence and machine learning will help the help desk help you #AI #ML #helpdesk… https://t.co/Elbqna2IGd,Dan Muse,dmuse,4397,4421,0,1
1115332688918056960,2019-04-08 19:16:49,Every Beginner Should have hands-on Linear Algebra If Planning a Career in Machine Learning https://t.co/h2ayhtIqgz #ai #ml #dl,AI News Feed,AINewsFeed,4171,5687,0,0
1115332545502171136,2019-04-08 19:16:15,"RT @USCyberMag: ""Authorities say two northern New Jersey boys successfully crashed their high school's Wi-Fi network on multiple occasions…",Heimschule - Abi 76,Heimschule76,173,71,9,0
1115332389314670592,2019-04-08 19:15:38,"RT @Ronald_vanLoon: IOT has a potential revenue potential over $ 1 trillion | #MWC18 #EricssonDigital @EricssonDigital

 #AI #Bigdata #Arti…",A_I_bulletin,AI_bulletin,4356,4831,9,0
1115332326710370304,2019-04-08 19:15:23,"RT @GOGLINJF: This #robot can teach itself to pick up almost any object By @PBalakrishnaRao
#innovation #robotics #Robots #automation #RPA…",Security Testing,sectest9,1,24784,4,0
